Sensor at x=3889276, y=3176133: closest beacon is at x=3738780, y=3090050
Sensor at x=3545888, y=1389980: closest beacon is at x=3687798, y=2823020
Sensor at x=2887269, y=2488344: closest beacon is at x=2809378, y=2513386
Sensor at x=3990278, y=43134: closest beacon is at x=2307159, y=135337
Sensor at x=3746631, y=2990632: closest beacon is at x=3738780, y=3090050
Sensor at x=7523, y=59064: closest beacon is at x=278652, y=-182407
Sensor at x=2662631, y=3349709: closest beacon is at x=2294322, y=3429562
Sensor at x=3999326, y=3030235: closest beacon is at x=3738780, y=3090050
Sensor at x=2788203, y=3722031: closest beacon is at x=3009520, y=4176552
Sensor at x=1872146, y=1228203: closest beacon is at x=1213036, y=1428271
Sensor at x=231045, y=2977983: closest beacon is at x=-362535, y=2000000
Sensor at x=2233881, y=421153: closest beacon is at x=2307159, y=135337
Sensor at x=3915820, y=2609677: closest beacon is at x=3687798, y=2823020
Sensor at x=2959514, y=2529069: closest beacon is at x=2809378, y=2513386
Sensor at x=1829825, y=2614275: closest beacon is at x=2809378, y=2513386
Sensor at x=1031015, y=2036184: closest beacon is at x=1213036, y=1428271
Sensor at x=3894267, y=3758546: closest beacon is at x=3738780, y=3090050
Sensor at x=2653530, y=445121: closest beacon is at x=2307159, y=135337
Sensor at x=1528274, y=1670020: closest beacon is at x=1213036, y=1428271
Sensor at x=3839068, y=2974837: closest beacon is at x=3738780, y=3090050
Sensor at x=254225, y=9603: closest beacon is at x=278652, y=-182407
Sensor at x=2214848, y=3333326: closest beacon is at x=2294322, y=3429562
Sensor at x=1008775, y=292264: closest beacon is at x=278652, y=-182407
Sensor at x=2072077, y=6712: closest beacon is at x=2307159, y=135337
Sensor at x=3344028, y=3459786: closest beacon is at x=3738780, y=3090050
Sensor at x=984627, y=3991112: closest beacon is at x=2294322, y=3429562
Sensor at x=198206, y=2034713: closest beacon is at x=-362535, y=2000000
Sensor at x=460965, y=1150404: closest beacon is at x=1213036, y=1428271
Sensor at x=2198999, y=3584784: closest beacon is at x=2294322, y=3429562
Sensor at x=3212614, y=2899682: closest beacon is at x=3687798, y=2823020
Sensor at x=3797078, y=2864795: closest beacon is at x=3687798, y=2823020
Sensor at x=2465051, y=2871666: closest beacon is at x=2809378, y=2513386
Sensor at x=2356218, y=3981953: closest beacon is at x=2294322, y=3429562
Sensor at x=2389861, y=1856461: closest beacon is at x=2809378, y=2513386
Sensor at x=2852352, y=2506253: closest beacon is at x=2809378, y=2513386
Sensor at x=2275278, y=742411: closest beacon is at x=2307159, y=135337
Sensor at x=1562183, y=3626443: closest beacon is at x=2294322, y=3429562
Sensor at x=44398, y=534916: closest beacon is at x=278652, y=-182407
